objectid,filename,title,description,subject,location,source,format,language,time to make,,Rights
guinea_1,banana_donuts.png,Beignets de Bananes,Banana fritters.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,40 minutes(plus prep),,
guinea_2,beignets_lananaas.png,Beignets l'ananas,Pineapple rings fried in a donut crust.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,45 minutes(plus prep),,
guinea_3,coconut_flan.png,Coconut Flan,Coconut flan made with taro root.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,40 minutes(plus prep),,
guinea_4,fruit_tart.png,"Tarte Moelleux a l'ananas, aux pommes et kiwi ou sapotille",A fruit tart made with various fruits.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,1 hour 30 minutes(plus prep),,
guineatext_1,banana_donut_recipe.txt,Beignets de Bananes Recipe,The recipe for banana fritters.,Recipe,Guinea,Saveurs d'ailleurs : le golfe de Guinée,txt,en,,,
dali_1,biscuit_meringe.png,Biscuit Meringue,A meringue biscuit.,,France,Les dîners de Gala,image/png,fr,1 hour 5 minutes(plus prep),,
dali_2,chocolat_au_rhum.png,Chocolat au rhum,Small chocolate cakes decorated with prunes.,,France,Les dîners de Gala,image/png,fr,1 hour(plus prep),,
dali_3,creme_de_fruits.png,Creme de Fruits,"A cream made of fruits, topped with whipped cream.",,France,Les dîners de Gala,image/png,fr,5 minutes(plus prep),,
dali_4,peches_aux_amandes.png,Peches aux Amandes,Baked peaches with almond cream chips.,,France,Les dîners de Gala,image/png,fr,2 hours 15 minutes(plus prep),,
dali_5,tarte_aux_bananes.png,Tarte Aux Bananes,A banana tart.,,France,Les dîners de Gala,image/png,fr,1 hour(plus prep),,
dutch_1,dutch_lemon_sorbet.png,Lemon Sorbet,Lemon sorbet.,,Netherlands,"Eten, Drinken, en Slapen",image/png,en,10 minutes(plus prep),,
angola_1,doce_de_limao.png,Doce de Limão,Lemon candy.,,Angola,Sabores de Angola,image/png,por,45 minutes(plus prep),,
angola_2,bolo_de_mandioca.png,Bolo De Mandioca,Cassava cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_3,bolo_de_fuba.png,Bolo De Fuba,Cornmeal cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_4,bolo_de_batata_doce.png,Bolo De Batata-Doce,Sweet potato cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_5,bolo_de_abacaxi.png,Bolo De Abacaxi,Pineapple cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_6,bolo_com_ginguba.png,Bolo Com Ginguba,Gum cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_7,bananas_no_forno.png,Bananas No Forno,Baked Bananas.,,Angola,Sabores de Angola,image/png,por,30 minutes(plus prep),,
algeria_1,tcharak.png,Tcharak,"Almond cookies, also known as ""Gazelles' Horns"".",,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"30 minutes, plus 1.5hr prep",,
algeria_2,mhalbi.png,M'Halbi,"Rice cakes, sweetened with orange blossom water.",,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"15 minutes, plus 20 minutes prep",,
algeria_3,knidlat.png,K'nidlat,Sugar turnovers with almond paste.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"30 minutes, plus 1 hour prep",,
algeria_4,diouls.png,Diouls,Semolina crepes.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"15 minutes, plus 40 minutes prep",,
algeria_5,bradj.png,Bradj,Semolina diamond pastries with dates.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"1 hour, plus 45 minutes prep",,
algeria_6,boussou_la_tmessou.png,Boussou La T'Messou,A cake sweetened with orange blossom water.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"20 minutes, plus 30 minutes prep",,
algeria_7,baklawa.png,Baklawa,Baklava.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,"1 hour, plus 1.5 hours prep",,
german_1,zucker_streubelein.png,Zŭcker Streŭbelein,Sugar Streussel.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1748,image/png,de,Not Provided,,
german_2,zucker_brezen_zu_mach.png,Zŭcker Brezen zu Mach,Sugar pretzels.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1749,image/png,de,Not Provided,,
german_3,weis_mandl_lebkuch.png,Weyß Mandl Lebkŭch,White almond gingerbread.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1750,image/png,de,Not Provided,,
german_4,oblath_krapfen.png,Oblath Krapfen,Filled donuts.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1751,image/png,de,Not Provided,,
german_5,schockolade_pistacchi.png,Die Schockolade Pistacchi,"Chocolate ""pistachios""",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1752,image/png,de,Not Provided,,
german_6,andere_lebkuch.png,Andere Lebkŭchen,"""Another gingerbread"".",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1753,image/png,de,Not Provided,,
