objectid,filename,title,description,subject,location,source,format,language,major ing.,time to bake,Rights
guinea_1,beignets_de_bananes.png,Beignets de Bananes,Banana fritters.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,,,
guinea_2,beignets_lananaas.png,Beignets l'ananas,Pineapple rings fried in a donut crust.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,,,
guinea_3,coconut_flan.png,Coconut Flan,Coconut flan made with taro root.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,,,
guinea_4,pineapple_apple_kiwi_cake.png,"Tarte Moelleux a l'ananas, aux pommes et kiwi ou sapotille",A fruit tart made with various fruits.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,,,
dali_1,biscuit_meringe.png,Biscuit Meringue,A meringue biscuit.,,France,Les dîners de Gala,image/png,en,,,
dali_2,chocolat_au_rhum.png,Chocolat au rhum,,,France,Les dîners de Gala,image/png,en,,,
dali_3,creme_de_fruits.png,Creme de Fruits,,,France,Les dîners de Gala,image/png,en,,,
dali_4,peches_aux_amandes.png,Peches aux Amandes,,,France,Les dîners de Gala,image/png,en,,,
dali_5,tarte_aux_bananes.png,Tarte Aux Bananes,A banana tart.,,France,Les dîners de Gala,image/png,en,,,
dutch_1,dutch_lemon_sorbet.png,Lemon Sorbet,Lemon sorbet.,,Netherlands,"Eten, Drinken, en Slapen",image/png,en,,,
angola_1,doce_de_limao.png,Doce de Limão,Lemon candy.,,Angola,Sabores de Angola,image/png,por,,,
angola_2,bolo_de_mandioca.png,Bolo De Mandioca,,,Angola,Sabores de Angola,image/png,por,,,
angola_3,bolo_de_fuba.png,Bolo De Fuba,,,Angola,Sabores de Angola,image/png,por,,,
angola_4,bolo_de_batata_doce.png,Bolo De Batata-Doce,Sweet potato cake.,,Angola,Sabores de Angola,image/png,por,,,
angola_5,bolo_de_abacaxi.png,Bolo De Abacaxi,Pineapple cake.,,Angola,Sabores de Angola,image/png,por,,,
angola_6,bolo_com_ginguba.png,Bolo Com Ginguba,Gum cake.,,Angola,Sabores de Angola,image/png,por,,,
angola_7,bananas_no_forno.png,Bananas No Forno,Baked Bananas.,,Angola,Sabores de Angola,image/png,por,,,
algeria_1,tcharak.png,Tcharak,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_2,m_halbi.png,M'Halbi,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_3,k_nidlat.png,K'nidlat,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_4,diouls.png,Diouls,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_5,bradj.png,Bradj,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_6,boussou_la_tmessou.png,Boussou La T'Messou,,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
algeria_7,baklawa.png,Baklawa,Baklava.,,Algeria,Grandes Recettes De La Cuisine Algerienne,image/png,fr,,,
german_1,zucker_streubelein.png,Zŭcker Streŭbelein,Sugar Streussel.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1748,image/png,de,,,
german_2,zucker_brezen_zu_mach.png,Zŭcker Brezen zu Mach,Sugar pretzels.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1749,image/png,de,,,
german_3,weis_mandl_lebkuch.png,Weyß Mandl Lebkŭch,White almond gingerbread.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1750,image/png,de,,,
german_4,oblath_krapfen.png,Oblath Krapfen,Filled donuts.,,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1751,image/png,de,,,
german_5,schockolade_pistacchi.png,Die Schockolade Pistacchi,"Chocolate ""pistachios""",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1752,image/png,de,,,
german_6,andere_lebkuch.png,Andere Lebkŭchen,"""Another gingerbread"".",,Germany,Das Kochbuch für Maria Annastasia Veitin : kommentierte Edition einer Kochbuchhandschrift aus dem Jahr 1753,image/png,de,,,
