objectid,filename,title,description,subject,location,source,format,language,time to make,,Rights
guinea_1,banana_donuts.png,Beignets de Bananes,Banana fritters.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,40 minutes(plus prep),,
guinea_2,beignets_lananaas.png,Beignets l'ananas,Pineapple rings fried in a donut crust.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,45 minutes(plus prep),,
guinea_3,coconut_flan.png,Coconut Flan,Coconut flan made with taro root.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,40 minutes(plus prep),,
guinea_4,fruit_tart.png,"Tarte Moelleux a l'ananas, aux pommes et kiwi ou sapotille",A fruit tart made with various fruits.,,Guinea,Saveurs d'ailleurs : le golfe de Guinée,image/png,fr,1 hour 30 minutes(plus prep),,
guineatext_1,banana_donut_recipe.txt,Beignets de Bananes Recipe,The recipe for banana fritters.,Recipe,Guinea,Saveurs d'ailleurs : le golfe de Guinée,txt,en,,,
guineatext_2,pineapple_fritter_recipe.txt,Beignets L'anannas Recipe,,Recipe,Guinea,Saveurs d'ailleurs : le golfe de Guinée,txt,en,,,
guineatext_3,coconut_flan_recipe.txt,Coconut Flan Recipe,,Recipe,Guinea,Saveurs d'ailleurs : le golfe de Guinée,txt,en,,,
guineatext_4,pineapple_apple_kiwi_cake_recipe.txt,"Tarte Moelleux a l'ananas, aux pommes et kiwi ou sapotille Recipe",,Recipe,Guinea,Saveurs d'ailleurs : le golfe de Guinée,txt,en,,,
dali_1,biscuit_meringe.png,Biscuit Meringue,A meringue biscuit.,,France,Les dîners de Gala,image/png,fr,1 hour 5 minutes(plus prep),,
dali_2,chocolat_au_rhum.png,Chocolat au rhum,Small chocolate cakes decorated with prunes.,,France,Les dîners de Gala,image/png,fr,1 hour(plus prep),,
dali_3,creme_de_fruits.png,Creme de Fruits,"A cream made of fruits, topped with whipped cream.",,France,Les dîners de Gala,image/png,fr,5 minutes(plus prep),,
dali_4,peches_aux_amandes.png,Peches aux Amandes,Baked peaches with almond cream chips.,,France,Les dîners de Gala,image/png,fr,2 hours 15 minutes(plus prep),,
dali_5,tarte_aux_bananes.png,Tarte Aux Bananes,A banana tart.,,France,Les dîners de Gala,image/png,fr,1 hour(plus prep),,
dalitext_1,meringue_biscuits_recipe.txt,Biscuit Meringue Recipe,,Recipe,France,Les dîners de Gala,txt,en,,,
dalitext_2,rhum_au_chocolat_recipe.txt,Chocolat au Rhum Recipe,,Recipe,France,Les dîners de Gala,txt,en,,,
dalitext_3,creme_de_fruits_recipe.txt,Creme de Fruits Recipe,,Recipe,France,Les dîners de Gala,txt,en,,,
dalitext_4,peches_aux_amandes_recipe.txt,Peches aux Amandes Recipe,,Recipe,France,Les dîners de Gala,txt,en,,,
dalitext_5,tarte_aux_bananes_recipe.txt,Biscuit Meringue Recipe,,Recipe,France,Les dîners de Gala,txt,en,,,
dutch_1,dutch_lemon_sorbet.png,Lemon Sorbet,Lemon sorbet.,,Netherlands,"Eten, Drinken, en Slapen",image/png,en,10 minutes(plus prep),,
dutchtext_1,lemon_sorbet_recipe.txt,Lemon Sorbet Recipe,,Recipe,Netherlands,"Eten, Drinken, en Slapen",txt,en,,,
angola_1,doce_de_limao.png,Doce de Limão,Lemon candy.,,Angola,Sabores de Angola,image/png,por,45 minutes(plus prep),,
angola_2,bolo_de_mandioca.png,Bolo De Mandioca,Cassava cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_3,bolo_de_fuba.png,Bolo De Fuba,Cornmeal cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_4,bolo_de_batata_doce.png,Bolo De Batata-Doce,Sweet potato cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_5,bolo_de_abacaxi.png,Bolo De Abacaxi,Pineapple cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_6,bolo_com_ginguba.png,Bolo Com Ginguba,Gum cake.,,Angola,Sabores de Angola,image/png,por,1 hour(plus prep),,
angola_7,bananas_no_forno.png,Bananas No Forno,Baked Bananas.,,Angola,Sabores de Angola,image/png,por,30 minutes(plus prep),,
